box_id,year,month,sst_mean_monthly
-39_146,2011,1,18.368350873284015
-39_146,2011,2,19.14396780256241
-39_146,2011,3,18.242150146046846
-39_146,2011,4,17.14462923120569
-39_146,2011,5,15.668709300324908
-39_146,2011,6,14.053888585832384
-39_146,2011,7,12.984659239382726
-39_146,2011,8,12.496272131533606
-39_146,2011,9,13.284888560683639
-39_146,2011,10,14.223619782369196
-39_146,2011,11,15.845147789849175
-39_146,2011,12,17.133978183978773
-39_146,2012,1,19.046594599241853
-39_146,2012,2,19.27294973760729
-39_146,2012,3,17.846236184506434
-39_146,2012,4,17.34825890858968
-39_146,2012,5,15.747956648522381
-39_146,2012,6,14.372703343850596
-39_146,2012,7,13.212938756498385
-39_146,2012,8,12.53229359315715
-39_146,2012,9,12.945221900939941
-39_146,2012,10,13.666773881536232
-39_146,2012,11,15.065370036937573
-39_146,2012,12,16.838709287745978
-39_146,2013,1,18.500107214869566
-39_146,2013,2,19.487261416420104
-39_146,2013,3,19.354587425040517
-39_146,2013,4,17.889147758483887
-39_146,2013,5,16.13849422495852
-39_146,2013,6,14.660518194127967
-39_146,2013,7,13.833046273945907
-39_146,2013,8,13.720716568731493
-39_146,2013,9,14.190296021214237
-39_146,2013,10,14.310358156867352
-39_146,2013,11,15.225740397417987
-39_146,2013,12,16.534874164075408
-39_146,2014,1,18.04462324162965
-39_146,2014,2,18.775594802129838
-39_146,2014,3,18.655411792057816
-39_146,2014,4,17.854518162762677
-39_146,2014,5,16.347096350885206
-39_146,2014,6,15.196888528046784
-39_146,2014,7,13.778745196626177
-39_146,2014,8,13.420178902191928
-39_146,2014,9,13.424703400223343
-39_146,2014,10,14.146953093962857
-39_146,2014,11,15.655518164458098
-39_146,2014,12,16.90444409291804
-39_146,2015,1,18.18046560936931
-39_146,2015,2,18.92186466852824
-39_146,2015,3,18.43415731341181
-39_146,2015,4,17.353740331861708
-39_146,2015,5,15.46634371220852
-39_146,2015,6,13.834777461157906
-39_146,2015,7,12.737060646002439
-39_146,2015,8,12.099677154240215
-39_146,2015,9,12.657370055163348
-39_146,2015,10,14.37677388208314
-39_146,2015,11,15.569184794249358
-39_146,2015,12,17.19440815354761
-39_146,2016,1,18.464157343765315
-39_146,2016,2,19.446244755010497
-39_146,2016,3,18.814444032621214
-39_146,2016,4,17.240592207732025
-39_146,2016,5,15.928816863712871
-39_146,2016,6,14.831481177718551
-39_146,2016,7,13.593870689364744
-39_146,2016,8,12.902329451721629
-39_146,2016,9,13.171518212777597
-39_146,2016,10,13.62562690584463
-39_146,2016,11,14.617962614695232
-39_146,2016,12,16.63250860262088
-39_146,2017,1,18.484587454026745
-39_146,2017,2,18.588928237793937
-39_146,2017,3,18.882257693984602
-39_146,2017,4,17.716147825453017
-39_146,2017,5,16.305447687812176
-39_146,2017,6,15.08725891466494
-39_146,2017,7,13.497490742727846
-39_146,2017,8,12.987885003448815
-39_146,2017,9,12.886518209951895
-39_146,2017,10,14.291254139288352
-39_146,2017,11,16.459481179272686
-39_146,2017,12,17.893368744935614
-39_146,2018,1,19.4937988335941
-39_146,2018,2,19.53761859924074
-39_146,2018,3,18.58211431195659
-39_146,2018,4,17.305592176649306
-39_146,2018,5,16.112795378572198
-39_146,2018,6,14.728851512626365
-39_146,2018,7,13.416343757328594
-39_146,2018,8,13.258566025764711
-39_146,2018,9,13.010370092038755
-39_146,2018,10,14.019390369401611
-39_146,2018,11,15.351110744476319
-39_146,2018,12,17.786773838877252
-39_146,2019,1,19.64695292647167
-39_146,2019,2,19.507420116000706
-39_146,2019,3,19.171504933346984
-39_146,2019,4,17.81711070449264
-39_146,2019,5,16.080931478931056
-39_146,2019,6,14.643073724817347
-39_146,2019,7,13.445125121796858
-39_146,2019,8,12.974157442756024
-39_146,2019,9,12.86974043669524
-39_146,2019,10,13.654444133936291
-39_146,2019,11,14.362592298013192
-39_146,2019,12,15.887992424776904
-39_146,2020,1,17.673153771294487
-39_146,2020,2,18.159195004751854
-39_146,2020,3,17.618100026175114
-39_146,2020,4,16.28507369712547
-39_146,2020,5,14.855662752650545
-39_146,2020,6,13.70403671971074
-39_146,2020,7,13.078494307815388
-39_146,2020,8,12.600573201333322
-39_146,2020,9,12.893925610295048
-39_146,2020,10,13.519067791627727
-39_146,2020,11,15.474258906752976
-39_146,2020,12,16.825268427530926
-39_146,2021,1,18.11842255951256
-39_146,2021,2,18.224444056314134
-39_146,2021,3,18.096988862560643
-39_146,2021,4,16.985555168434427
-39_146,2021,5,15.697060578185598
-39_146,2021,6,14.163073779918529
-39_146,2021,7,13.38989217819706
-39_146,2021,8,13.153189665955027
-39_146,2021,9,13.03559229462235
-39_146,2021,10,13.651648429132278
-39_146,2021,11,15.110666317409938
-39_146,2021,12,16.71820750629603
-39_146,2022,1,18.54587773012004
-39_146,2022,2,18.923769428616477
-39_146,2022,3,18.420286356334618
-39_146,2022,4,16.678036682694046
-39_146,2022,5,15.52150505503446
-39_146,2022,6,14.154592309174713
-39_146,2022,7,13.248458489722248
-39_146,2022,8,12.471039125996251
-39_146,2022,9,12.857296028843633
-39_146,2022,10,14.148207558525932
-39_146,2022,11,15.39999967151218
-39_146,2022,12,16.329641178090085
-39_146,2023,1,18.51577022511472
-39_146,2023,2,19.00682494753883
-39_146,2023,3,18.588637601517433
-39_146,2023,4,17.26022181334319
-39_146,2023,5,15.969999668845993
-39_146,2023,6,14.576851509235523
-39_146,2023,7,13.804193230085476
-39_146,2023,8,13.526558824764784
-39_146,2023,9,13.843036729318124
-39_146,2023,10,14.703153811902556
-39_146,2023,11,15.885147818812618
-39_146,2023,12,17.21756236442101
-39_146,2024,1,18.18039390946802
-39_146,2024,2,19.484444037251087
-39_146,2024,3,19.213834632682115
-39_146,2024,4,17.854369926452637
-39_146,2024,5,16.34247278398083
-39_146,2024,6,15.041592265941478
-39_146,2024,7,13.644264921919847
-39_146,2024,8,13.162436987764092
-39_146,2024,9,13.542407095873797
-39_146,2024,10,14.58906778383426
-39_146,2024,11,16.16596259717588
-39_146,2024,12,17.903476298069013
-39_146,2025,1,19.496092779234747
-39_146,2025,2,19.77738048916771
-39_146,2025,3,19.740393799265654
-39_146,2025,4,18.258962574711553
-39_146,2025,5,16.810680570568234
-39_146,2025,6,15.074703386094836
-39_146,2025,7,13.673727281631962
-39_146,2025,8,13.24290294031943
-39_146,2025,9,13.343851555718317
-39_146,2025,10,14.048852759877413
-39_146,2025,11,14.721110781916865
-39_146,2025,12,16.12863762147965
-39_147,1992,1,16.383628576032578
-39_147,1992,2,17.414827313916437
-39_147,1992,3,17.791531870442054
-39_147,1992,4,16.444082895914715
-39_147,1992,5,15.972499685902749
